ID,damage_grade
5054,5
166563,5
25330,2
60282,5
194414,4
128515,5
24668,1
274172,3
216965,2
350739,1
158939,3
310788,4
202659,2
189204,5
146418,5
368166,1
177256,5
203444,4
298689,4
361480,3
359198,1
187274,3
209094,5
197742,4
13517,5
300595,4
332139,4
173494,1
187860,1
320426,5
206311,4
302090,4
329667,5
138362,4
6721,2
105952,2
306229,4
212886,4
56470,4
133210,4
180832,4
279834,3
306208,2
363110,1
46119,3
209167,4
62112,4
322135,1
254343,3
338314,5
216735,4
39936,2
329292,1
141322,4
139842,4
365872,4
84843,3
23236,3
228430,4
11156,3
366680,5
323289,3
121180,2
153744,4
307274,2
147943,1
20802,5
382657,2
324850,1
113714,5
254397,5
384022,5
286495,3
39249,5
103657,4
45038,1
63005,1
366349,4
11487,4
219380,4
189749,5
255655,3
52072,5
294493,5
100575,5
160252,4
324598,3
338951,5
5658,3
25935,2
68114,4
195774,5
371972,5
384807,3
184576,5
288676,4
87703,4
132256,5
304909,5
202316,5
259711,4
263657,3
303495,4
77460,5
916,3
81761,5
329022,2
62748,5
198768,3
110131,4
107593,2
317671,4
339509,5
36747,2
122633,3
303075,5
8596,3
23407,1
123906,5
71545,2
151973,1
242615,3
34172,3
351682,1
84571,5
314918,1
323151,2
266998,5
150533,1
169507,4
251265,3
103627,4
112956,4
163496,3
385536,5
115201,3
270853,5
90590,4
99318,5
244839,4
198094,4
82168,5
26299,4
220009,3
36700,4
66029,5
66036,4
62114,5
158811,1
293628,5
122826,5
56594,1
7306,5
68783,4
102760,4
9979,2
200991,3
30950,5
168501,5
6218,4
69691,4
80095,4
9944,5
374532,2
179672,2
348806,5
336823,5
233372,1
226162,3
220131,2
42295,4
88292,5
386894,5
268115,3
215369,5
103198,5
176457,3
293531,3
108983,4
315885,4
29558,3
127539,5
287928,4
352462,1
266748,5
246867,5
83477,4
383327,4
187041,5
17632,4
82689,1
196716,4
33612,4
369478,5
204076,2
309029,1
83201,3
144522,5
319306,2
5344,5
7523,2
38792,5
261365,3
321798,5
269155,3
219819,3
307471,5
256765,2
12083,3
77441,4
277812,2
374549,5
199953,4
336162,4
93554,3
194499,3
41140,4
178418,5
46470,4
149401,3
272493,5
99256,3
275858,5
100063,1
52509,3
178632,5
345660,3
203195,3
81675,4
276901,5
246918,4
110795,2
259668,1
261249,1
60497,2
154673,2
149829,4
214415,2
362359,4
378626,5
99287,5
362324,4
165143,3
145095,5
208699,3
148231,4
184473,2
382301,4
213977,3
233586,5
101527,4
20914,2
37600,3
286860,5
334564,2
359457,5
177515,5
266688,5
73636,2
346816,5
63203,2
378025,5
121945,3
239342,5
261735,5
39432,4
53448,5
314175,3
172415,2
373344,3
112628,5
348050,3
58009,3
245724,3
164761,5
15939,3
130631,1
7258,2
134687,4
270276,5
305537,4
18678,4
175623,4
212170,4
356801,4
256547,4
1785,4
37819,5
20573,4
220963,3
51314,1
197237,5
302898,5
272310,3
242584,2
362629,5
218591,5
21300,3
350489,2
207164,1
226132,2
3909,5
57704,1
159730,5
359617,2
153967,1
324945,3
228544,5
353311,3
97545,5
130633,4
358634,1
249638,4
190992,4
162818,3
320046,3
208308,5
335006,5
310109,5
29608,2
235719,1
273309,4
206016,5
347035,5
126195,4
278514,3
195788,4
204688,5
334968,4
244045,5
62435,4
373927,2
15117,1
130769,4
343512,3
368097,2
232647,3
81674,5
31022,4
364781,4
85632,5
197054,2
53253,5
328963,1
14492,5
269908,3
197398,3
158523,1
129315,5
5747,4
171378,5
52881,4
92193,4
135290,5
114011,5
352104,4
275126,4
43652,3
359855,5
163863,4
41582,3
332513,5
149939,3
290513,4
316276,5
265973,4
239451,1
294773,1
189699,4
72902,4
283228,4
226503,1
120994,3
352327,5
31250,3
53844,3
73312,5
56100,5
46171,2
286112,5
107745,4
64955,2
212799,5
10437,4
161625,5
63342,2
369195,5
379458,4
232425,1
196718,5
179471,5
33838,3
229361,5
128250,3
272615,3
7755,5
374249,5
230485,3
361495,1
11011,2
58183,5
13244,4
185018,5
306225,5
226514,2
350228,1
167505,5
336302,5
32961,3
314027,4
31244,2
54807,2
375958,3
310665,5
41436,3
171259,5
51645,5
93509,5
99670,5
20916,5
387158,5
253931,5
91035,5
94211,4
96711,3
8763,3
151144,3
41967,4
41951,4
365540,5
171873,3
292555,4
101742,5
177066,4
272681,4
319599,4
283230,3
123658,5
3051,3
110014,3
178104,3
12306,2
346294,3
89114,3
219738,3
274007,4
10878,2
241201,5
44276,2
124209,5
94096,3
78061,3
257255,3
335661,5
315572,2
7817,4
302070,5
375243,3
163564,4
272530,2
17524,5
316118,5
177345,4
117601,4
288571,3
152847,5
66177,5
304627,3
246823,4
107729,5
169968,3
360583,3
369733,5
195878,2
330433,3
135515,3
11026,4
139363,3
340475,4
133617,1
238684,1
87238,3
169735,4
380786,1
219253,2
39199,3
131805,3
361799,5
119927,4
283871,5
117909,4
49098,4
293324,4
74316,3
377228,5
318480,1
213908,5
186016,5
318140,5
140824,2
235463,4
260423,4
118521,2
210914,4
272386,5
315046,1
2038,3
363470,5
30487,2
248615,3
6038,2
107827,3
318465,5
276506,4
371766,2
73565,4
366354,5
142043,4
24878,5
86259,4
210354,4
51237,1
263192,4
306971,5
1180,4
279379,5
362278,1
111439,4
164287,3
169672,2
51867,5
214059,4
59399,2
334757,5
202749,3
231799,1
314955,4
205868,4
240491,3
366990,3
349542,1
114482,4
248407,4
127136,4
151951,5
192603,2
160491,3
108551,5
38955,5
225401,4
13456,5
346851,5
211946,3
230917,4
311625,5
225556,1
298928,4
105825,4
353233,4
303416,3
278752,4
117992,5
295140,5
32996,4
102406,3
57919,5
202903,5
333936,5
196822,2
241125,3
330751,5
368068,1
363392,4
208871,5
372744,1
195837,4
297145,1
68570,5
351437,5
305596,4
360869,5
324933,5
378492,4
164840,5
371275,2
300748,5
131825,2
55183,5
98124,4
11239,5
200161,5
377362,4
61265,4
165719,5
183750,4
332379,3
121053,5
346750,4
372706,3
221557,5
129965,5
98149,5
218226,5
168965,4
133953,2
366896,4
303423,5
309520,4
364609,5
142349,2
294199,5
77747,5
32784,5
358768,3
282963,5
105552,4
310833,1
77998,2
19111,4
138599,4
338743,3
175922,3
138585,5
23170,1
60601,4
365020,3
197512,5
276321,1
290762,2
344453,2
170644,5
259502,1
185557,1
198558,1
157709,2
139209,5
265450,5
319240,3
194893,5
371630,4
249490,5
113607,4
258435,4
87854,5
227400,1
92648,5
7896,5
64272,5
199328,4
341616,5
307632,4
30317,5
40541,3
4492,5
366373,5
15855,2
86722,3
289225,4
293485,4
345310,3
232738,3
178361,3
276260,5
190501,5
87853,5
129343,5
7742,5
109151,1
86607,4
240728,2
140813,1
241819,4
258949,4
193350,5
318460,2
217050,5
97051,3
67958,5
50322,4
66099,5
256709,5
196359,1
277491,4
33489,1
356819,5
365686,5
66800,1
356988,5
255719,1
14532,1
307623,3
183986,5
119633,5
350340,4
196393,5
211092,2
240544,4
242929,4
357862,4
148736,2
95265,2
306540,2
139251,5
28868,5
33677,3
316767,5
24310,1
258219,4
103954,5
277578,5
367309,2
231090,2
195501,5
195203,4
274832,3
321158,5
57939,5
322862,1
69066,5
156488,4
38400,3
44443,5
19010,3
248883,4
278096,5
346014,4
127778,2
96599,1
227061,4
382978,3
369846,1
122903,4
381835,3
241130,5
82684,3
85312,5
28218,1
63201,1
11477,2
376252,2
112872,5
134237,5
226335,5
235022,3
356245,5
198413,4
267689,3
97505,2
246101,5
131968,4
224581,5
361991,3
255746,3
207901,5
301999,1
274266,3
14877,4
308949,4
158806,1
18073,4
257075,2
118923,1
174908,3
65144,3
356921,4
217243,5
163016,4
241332,5
373680,1
332761,5
86186,5
222259,5
19293,3
322265,5
24390,4
168345,1
383305,2
166020,5
385103,5
46023,5
66599,4
2035,1
32612,3
42682,4
198996,2
63976,4
93380,5
385016,4
316282,2
378424,5
255591,2
6533,5
153911,1
329611,5
48223,3
205444,5
6680,3
61174,4
316620,4
189998,2
208784,5
386844,3
206546,5
172969,3
31563,4
285349,5
356822,5
34200,5
136241,1
248665,5
247984,4
72933,4
375232,5
256237,1
4524,4
273592,4
338334,5
56366,5
4239,2
178513,3
348260,5
213553,5
46209,4
173897,4
297098,5
254657,5
68333,4
324817,3
102424,4
79423,4
120571,5
232060,5
267347,5
214113,4
106777,5
266736,3
104420,5
308496,5
76076,5
248896,5
108681,5
13407,4
297937,4
157516,2
33875,5
242866,5
53114,4
248229,2
45783,3
250960,4
89073,5
107733,2
337767,4
41839,3
270699,2
49816,3
201309,2
87504,4
31916,5
201103,4
131037,3
219134,4
47615,4
180508,3
262311,3
103652,5
61827,1
110431,2
185260,4
384106,2
316283,5
366010,4
386002,4
13881,4
119307,4
226809,4
62729,5
227639,5
149879,5
6061,4
74502,4
236413,3
182057,5
321294,1
286908,5
47154,4
270242,3
212644,5
287825,2
342056,3
183453,4
130499,5
86332,4
46958,2
67590,5
113618,1
327201,4
370270,2
145926,5
12946,5
338394,1
299864,5
373006,5
9332,4
296808,3
287056,3
346774,3
210051,3
113427,4
51066,4
158148,5
227679,5
231526,4
111788,1
160096,4
266848,5
7793,3
164825,4
141990,3
339206,2
140849,4
188235,5
110827,2
8191,2
16737,4
183143,5
2252,3
218725,4
154050,2
135998,3
156288,5
365665,3
183029,5
368662,2
93481,3
25467,4
183410,3
283627,3
117369,5
193048,3
271720,4
347369,5
354257,5
17255,5
307697,4
189726,3
85527,5
118337,3
358950,5
87002,1
312020,3
230349,4
179183,2
29760,3
207520,3
77693,5
56585,5
236383,5
45485,3
294711,3
295842,5
260075,5
62405,2
43515,1
38468,5
23012,5
33125,5
353731,2
80074,4
68137,1
255363,3
376259,3
370085,4
119734,5
149239,5
205044,3
312997,5
106377,1
280285,5
261487,4
331092,4
300260,5
154421,3
11373,4
172258,5
225416,5
239557,3
79176,1
298673,4
348172,2
205710,5
272442,2
205263,5
215357,2
226541,1
56385,5
139961,2
120551,3
210264,4
366486,4
224142,5
29841,2
323987,3
260104,1
58872,2
246005,4
279714,5
270753,5
272092,2
161949,5
348570,4
172679,5
343226,4
163411,1
229595,1
350914,1
132871,5
64983,3
125912,5
199389,5
18491,4
19213,5
381743,4
212238,5
306722,4
95557,5
37321,5
211506,5
131768,5
228333,3
167506,3
37437,5
327324,4
125662,2
153654,2
119175,4
226255,4
200822,4
17045,5
237122,2
128321,5
66230,5
327315,5
248152,3
201684,1
171262,5
168471,4
221060,5
160278,2
348056,5
242283,1
32033,5
135020,4
312826,5
158047,4
169133,5
384859,5
123439,3
147055,5
266816,3
301035,2
251503,5
351697,1
102857,5
271386,3
364745,4
70815,3
273102,1
71818,5
75834,3
26180,3
107771,2
343009,5
101110,5
89394,2
198573,5
101906,5
334716,2
48545,5
382349,4
196573,2
353438,3
222555,1
289235,5
341647,3
343113,5
384024,5
33370,3
147901,3
178048,2
134401,3
333511,3
338959,3
212061,4
54301,4
121869,4
382517,2
139027,4
254277,5
66866,5
64589,5
151762,2
378605,5
88780,2
330766,3
341259,4
365654,5
226382,5
280974,4
101279,5
73624,4
93293,3
319188,3
223983,4
385966,2
163021,3
118799,3
