ID,damage_grade,Usage
71840,4.0,Private
85155,4.0,Public
287066,2.0,Public
124951,2.0,Public
73581,5.0,Private
277959,3.0,Public
180313,5.0,Private
301698,5.0,Public
336350,3.0,Private
189431,2.0,Private
162676,1.0,Private
240660,5.0,Private
327950,5.0,Private
138173,5.0,Public
85157,4.0,Private
207727,4.0,Public
354632,5.0,Public
173972,5.0,Public
144442,5.0,Private
174514,3.0,Private
45219,4.0,Public
45023,5.0,Private
355653,2.0,Private
361419,4.0,Private
175018,3.0,Private
38047,5.0,Private
15368,2.0,Private
138119,5.0,Private
264892,4.0,Public
213964,5.0,Private
47506,2.0,Public
203838,3.0,Private
126779,2.0,Private
352013,4.0,Private
171612,5.0,Private
363197,4.0,Private
260557,2.0,Private
159928,5.0,Private
223198,1.0,Public
292633,1.0,Private
314282,2.0,Private
9245,5.0,Private
336527,5.0,Public
155732,2.0,Private
141131,1.0,Private
316873,1.0,Private
258902,2.0,Private
185023,3.0,Private
133452,3.0,Private
138077,5.0,Private
370365,2.0,Private
360302,5.0,Private
137062,5.0,Private
141528,4.0,Private
11721,5.0,Private
184054,3.0,Private
367071,4.0,Private
197360,5.0,Public
41966,3.0,Private
347085,4.0,Private
360033,1.0,Private
104318,3.0,Private
39698,2.0,Private
107518,2.0,Private
312906,4.0,Private
123815,3.0,Private
290450,1.0,Private
265990,4.0,Private
181424,2.0,Private
251617,5.0,Public
367542,2.0,Public
255222,4.0,Private
172916,3.0,Private
222774,2.0,Private
215931,3.0,Public
141973,4.0,Private
81906,3.0,Public
147438,4.0,Public
212335,5.0,Private
217893,3.0,Private
255160,2.0,Private
54562,5.0,Public
381784,5.0,Private
5740,4.0,Private
286664,1.0,Private
110741,5.0,Private
127396,5.0,Private
342675,3.0,Private
307688,3.0,Public
340015,3.0,Public
358689,4.0,Private
315437,3.0,Public
135922,3.0,Private
77321,5.0,Private
374355,2.0,Private
8961,1.0,Private
270777,5.0,Public
118163,3.0,Private
213855,2.0,Private
27011,2.0,Private
56999,3.0,Public
205006,5.0,Private
301994,1.0,Private
81578,4.0,Private
332548,5.0,Private
159953,5.0,Private
63608,3.0,Private
136962,1.0,Private
130297,4.0,Private
346038,3.0,Private
92237,5.0,Public
196634,3.0,Private
230821,4.0,Private
2483,2.0,Private
48422,4.0,Private
178812,5.0,Private
246382,2.0,Private
339154,5.0,Public
199254,4.0,Private
301134,3.0,Public
180344,1.0,Private
282021,2.0,Private
182683,3.0,Public
318820,5.0,Private
381877,5.0,Private
369040,2.0,Private
345180,5.0,Private
113796,5.0,Private
132439,1.0,Private
192051,4.0,Private
44219,5.0,Private
326645,5.0,Private
68148,5.0,Private
364481,3.0,Private
275883,4.0,Private
383221,1.0,Private
127949,5.0,Private
197349,2.0,Private
367124,5.0,Private
355327,5.0,Public
85071,4.0,Private
172875,1.0,Private
304319,2.0,Public
95398,5.0,Public
173193,3.0,Private
310270,1.0,Private
231143,4.0,Public
139603,3.0,Private
46668,5.0,Public
184598,1.0,Private
181708,4.0,Private
21464,4.0,Public
16122,5.0,Private
354321,5.0,Private
16049,4.0,Public
13937,4.0,Public
150609,4.0,Private
76840,5.0,Private
50657,5.0,Private
316306,5.0,Public
39880,5.0,Private
213427,5.0,Private
119235,5.0,Private
60622,5.0,Private
309574,5.0,Private
304408,2.0,Public
163832,4.0,Private
115542,4.0,Private
30001,1.0,Private
13245,4.0,Public
368348,5.0,Private
262497,5.0,Public
24811,4.0,Private
386895,3.0,Public
336123,3.0,Private
254887,4.0,Private
199753,5.0,Private
299728,5.0,Public
319140,4.0,Private
217780,1.0,Private
51679,2.0,Private
261189,4.0,Public
156109,2.0,Public
23642,5.0,Public
95318,5.0,Private
200267,3.0,Public
221746,5.0,Private
27151,5.0,Private
71191,5.0,Private
8652,4.0,Public
255680,5.0,Private
259395,4.0,Private
261775,2.0,Private
320304,3.0,Private
112483,5.0,Private
131969,5.0,Private
238069,1.0,Private
344850,5.0,Public
65897,5.0,Private
12806,5.0,Private
72950,4.0,Private
214579,4.0,Public
322507,5.0,Public
308264,4.0,Public
31554,3.0,Private
384552,1.0,Private
58533,3.0,Public
65194,4.0,Private
108969,4.0,Public
301453,5.0,Private
317033,2.0,Public
103518,4.0,Public
163081,2.0,Private
20561,4.0,Public
386032,2.0,Private
213578,4.0,Public
330180,1.0,Private
363311,3.0,Public
131756,4.0,Private
43658,2.0,Public
338515,1.0,Private
116482,2.0,Private
220551,5.0,Private
109587,4.0,Private
225901,2.0,Private
211472,4.0,Private
110617,3.0,Private
195567,4.0,Private
179244,3.0,Public
35138,5.0,Public
147715,3.0,Private
38080,5.0,Private
156662,1.0,Public
268510,5.0,Private
276779,3.0,Public
187070,4.0,Private
360269,5.0,Private
9725,1.0,Public
272596,5.0,Private
355239,1.0,Public
379121,1.0,Public
178852,5.0,Private
182072,4.0,Private
322998,2.0,Private
269631,5.0,Private
292196,2.0,Public
27333,5.0,Private
232205,1.0,Private
290504,2.0,Public
200579,1.0,Public
173442,3.0,Private
207964,3.0,Private
154936,2.0,Private
246331,4.0,Public
296427,3.0,Private
300736,2.0,Private
136701,5.0,Private
88257,3.0,Private
288897,4.0,Private
229409,2.0,Private
363134,4.0,Private
350330,5.0,Private
130090,5.0,Public
347219,3.0,Private
276915,3.0,Private
321974,4.0,Private
333457,4.0,Private
199104,2.0,Public
23895,3.0,Private
331677,5.0,Public
339697,4.0,Private
297814,1.0,Private
259995,5.0,Private
25230,4.0,Public
268815,4.0,Public
172960,1.0,Private
2075,3.0,Public
175481,1.0,Public
253542,5.0,Private
89800,1.0,Private
358760,4.0,Private
149025,2.0,Private
202885,3.0,Private
269057,2.0,Public
343756,5.0,Public
282954,3.0,Private
154782,5.0,Private
348787,5.0,Private
174386,4.0,Private
346393,1.0,Private
307706,3.0,Private
137410,5.0,Public
183653,4.0,Private
279121,4.0,Private
256390,5.0,Private
33830,4.0,Private
380901,1.0,Private
291757,1.0,Public
47600,5.0,Public
47071,1.0,Private
361430,5.0,Private
42143,5.0,Private
323712,3.0,Public
254535,4.0,Public
78247,5.0,Public
385816,3.0,Public
149535,1.0,Private
245201,5.0,Public
366390,1.0,Private
215922,5.0,Private
36609,5.0,Private
43058,5.0,Public
13256,2.0,Public
26237,5.0,Private
3125,1.0,Public
235251,5.0,Private
11298,4.0,Private
30602,3.0,Private
281825,3.0,Private
116850,5.0,Private
193493,3.0,Private
378336,5.0,Private
379233,5.0,Private
121372,5.0,Private
352819,2.0,Private
201532,4.0,Private
135718,4.0,Private
189076,4.0,Public
122120,5.0,Public
191155,2.0,Private
298795,3.0,Public
357093,5.0,Private
204838,1.0,Private
266845,5.0,Public
290298,5.0,Private
161148,5.0,Public
233333,5.0,Public
223525,1.0,Public
206376,5.0,Private
102338,5.0,Private
37997,1.0,Private
30190,5.0,Private
226641,5.0,Private
377315,2.0,Private
368099,5.0,Private
317129,2.0,Private
21609,5.0,Private
320380,4.0,Private
238916,5.0,Private
132500,3.0,Public
20179,1.0,Public
233233,1.0,Private
298239,3.0,Public
235818,5.0,Public
358723,3.0,Private
16127,5.0,Public
276058,4.0,Private
307546,2.0,Private
342095,4.0,Public
68190,2.0,Private
37483,5.0,Private
90886,5.0,Private
17203,3.0,Private
317877,5.0,Private
290518,3.0,Public
305641,5.0,Public
240746,2.0,Public
131901,5.0,Private
302632,1.0,Private
179021,5.0,Public
135110,2.0,Public
378630,1.0,Public
86078,2.0,Public
206468,5.0,Public
275700,4.0,Private
238805,4.0,Private
59323,5.0,Private
183737,3.0,Public
46196,4.0,Private
350027,5.0,Private
293282,1.0,Private
191942,5.0,Public
7448,3.0,Private
37273,1.0,Private
91178,3.0,Public
27242,1.0,Private
39409,4.0,Private
296959,4.0,Private
19828,2.0,Public
29234,5.0,Private
159057,5.0,Private
302303,3.0,Private
217697,5.0,Private
63047,2.0,Private
207604,1.0,Public
77453,4.0,Private
76707,5.0,Private
49432,5.0,Private
166190,5.0,Private
192372,1.0,Public
1071,5.0,Public
57629,1.0,Public
128055,3.0,Public
250617,4.0,Private
259529,5.0,Private
333079,3.0,Public
233006,2.0,Public
