iter	Passed	Remaining
0	1	1993
1	3	1542
2	4	1386
3	4	1229
4	5	1113
5	6	1046
6	6	989
7	7	974
8	8	935
9	9	895
10	9	862
11	10	832
12	10	808
13	11	786
14	11	750
15	11	737
16	12	727
17	13	716
18	14	765
19	15	773
20	16	764
21	16	752
22	17	740
23	17	728
24	18	717
25	18	707
26	19	701
27	19	692
28	20	684
29	20	678
30	21	671
31	22	665
32	22	659
33	23	653
34	23	649
35	24	645
36	24	640
37	25	636
38	25	632
39	26	628
40	26	623
41	27	619
42	28	624
43	28	626
44	29	629
45	30	628
46	30	625
47	31	622
48	31	619
49	32	615
50	32	613
51	33	607
52	33	605
53	34	604
54	35	602
55	35	599
56	36	597
57	36	595
58	37	593
59	37	591
60	38	590
61	38	589
62	39	587
63	40	588
64	40	587
65	41	586
66	42	591
67	43	597
68	44	597
69	44	595
70	45	594
71	45	590
72	46	590
73	47	589
74	48	592
75	48	594
76	49	593
77	50	592
78	50	590
79	51	588
80	51	587
81	52	585
82	52	583
83	53	582
84	53	580
85	54	579
86	55	578
87	55	576
88	56	580
89	57	577
90	57	577
91	58	576
92	58	574
93	59	573
94	60	574
95	60	573
96	61	572
97	62	570
98	62	569
99	63	568
100	63	566
101	64	565
102	64	562
103	65	560
104	65	559
105	66	557
106	66	556
107	67	555
108	67	554
109	68	553
110	68	551
111	69	550
112	70	557
113	72	562
114	73	562
115	73	561
116	74	562
117	75	560
118	75	561
119	76	560
120	76	558
121	77	557
122	77	555
123	78	554
124	79	553
125	79	551
126	80	550
127	80	549
128	80	546
129	81	544
130	81	541
131	82	540
132	82	539
133	83	537
134	83	536
135	84	538
136	85	538
137	86	538
138	86	538
139	87	537
140	88	536
141	88	536
142	89	535
143	89	534
144	90	533
145	91	532
146	91	531
147	92	530
148	92	528
149	93	527
150	93	526
151	94	524
152	94	523
153	95	522
154	95	521
155	96	519
156	96	518
157	97	517
158	97	516
159	98	517
160	100	521
161	100	521
162	101	520
163	101	519
164	102	518
165	103	517
166	103	516
167	104	516
168	104	515
169	105	514
170	105	513
171	106	512
172	107	511
173	107	511
174	108	510
175	108	509
176	109	508
177	109	507
178	110	506
179	110	505
180	111	504
181	112	503
182	112	504
183	113	504
184	114	503
185	114	503
186	115	502
187	116	501
188	116	500
189	117	498
190	117	498
191	118	497
192	118	495
193	119	495
194	119	494
195	120	493
196	120	492
197	121	491
198	121	490
199	122	489
200	122	488
201	123	487
202	124	487
203	124	486
204	125	485
205	125	484
206	126	483
207	165	628
208	165	627
209	166	627
210	167	626
211	168	625
212	185	683
213	185	683
214	186	681
215	188	683
216	189	682
217	189	681
218	190	679
219	191	679
220	192	680
221	193	679
222	194	678
223	195	677
224	196	676
225	197	674
226	197	673
227	198	672
228	199	673
229	200	671
230	201	670
231	201	668
232	202	666
233	203	665
234	203	663
235	204	661
236	204	659
237	206	660
238	207	661
239	208	659
240	208	658
241	209	656
242	210	654
243	210	652
244	211	652
245	211	649
246	212	647
247	213	646
248	213	644
249	214	643
250	214	641
251	215	639
252	216	638
253	216	636
254	217	635
255	217	633
256	218	632
257	225	649
258	228	653
259	229	652
260	233	660
261	234	659
262	234	658
263	236	658
264	236	656
265	237	655
266	238	654
267	239	652
268	239	651
269	240	649
270	240	648
271	241	646
272	242	644
273	242	642
274	243	641
275	243	639
276	244	636
277	244	635
278	245	633
279	245	631
280	246	629
281	246	627
282	247	626
283	247	624
284	248	622
285	249	621
286	249	620
287	250	619
288	251	619
289	252	617
290	253	616
291	254	616
292	255	615
293	255	614
294	256	612
295	257	611
296	257	610
297	258	608
298	258	606
299	259	605
300	260	603
301	260	602
302	261	600
303	261	599
304	262	597
305	263	597
306	264	596
307	264	594
308	265	593
309	266	592
310	266	591
311	267	590
312	268	589
313	268	587
314	269	586
315	270	584
316	270	582
317	271	581
318	271	580
319	272	578
320	272	576
321	273	575
322	273	573
323	274	572
324	274	571
325	275	569
326	277	572
327	278	570
328	279	569
329	279	568
330	280	567
331	281	565
332	281	564
333	282	563
334	283	562
335	283	561
336	284	560
337	285	558
338	285	557
339	286	556
340	286	554
341	287	553
342	288	551
343	288	550
344	289	548
345	290	548
346	291	547
347	292	548
348	293	547
349	294	546
350	294	545
351	295	543
352	295	542
353	296	540
354	296	539
355	297	538
356	298	536
357	298	535
358	299	534
359	299	532
360	300	531
361	300	530
362	301	528
363	301	527
364	302	526
365	302	524
366	303	523
367	304	522
368	306	524
369	308	524
370	308	523
371	309	522
372	310	521
373	310	520
374	311	519
375	312	517
376	312	516
377	313	515
378	313	514
379	314	512
380	314	511
381	315	510
382	315	508
383	316	507
384	317	506
385	317	505
386	319	505
387	319	504
388	320	503
389	321	502
390	321	501
391	322	500
392	322	498
393	323	497
394	324	496
395	324	495
396	325	493
397	325	492
398	326	491
399	326	490
400	327	489
401	328	488
402	328	487
403	329	486
404	330	484
405	330	483
406	331	482
407	331	481
408	333	482
409	334	481
410	335	481
411	336	480
412	336	478
413	337	477
414	338	476
415	338	475
416	339	474
417	340	473
418	340	472
419	341	471
420	341	470
421	342	469
422	343	468
423	343	467
424	344	466
425	345	465
426	349	468
427	349	467
428	350	466
429	351	465
430	351	464
431	352	463
432	354	463
433	354	462
434	355	461
435	355	460
436	356	459
437	357	459
438	359	458
439	363	462
440	363	461
441	364	460
442	365	459
443	366	458
444	366	457
445	367	456
446	368	455
447	369	454
448	369	453
449	370	452
450	371	451
451	371	450
452	372	450
453	374	450
454	375	449
455	375	448
456	376	447
457	377	446
458	377	445
459	378	444
460	379	443
461	379	442
462	380	441
463	380	440
464	381	438
465	381	437
466	382	436
467	383	435
468	383	434
469	384	433
470	384	432
471	385	430
472	385	429
473	386	428
474	386	427
475	387	426
476	388	426
477	389	425
478	390	424
479	390	423
480	391	422
481	392	421
482	393	420
483	393	419
484	394	418
485	394	417
486	395	416
487	395	415
488	396	414
489	397	413
490	397	412
491	398	411
492	399	410
493	399	409
494	400	408
495	400	407
496	401	406
497	403	406
498	403	405
499	404	404
500	404	403
501	405	402
502	406	401
503	406	400
504	407	399
505	407	398
506	408	397
507	408	396
508	409	395
509	410	394
510	410	393
511	411	392
512	412	391
513	412	390
514	413	389
515	413	388
516	414	387
517	415	386
518	415	385
519	416	384
520	418	384
521	419	383
522	420	383
523	421	382
524	421	381
525	423	381
526	423	380
527	424	379
528	424	378
529	425	377
530	426	376
531	426	375
532	427	374
533	427	373
534	428	372
535	429	371
536	429	370
537	430	369
538	431	369
539	432	368
540	432	367
541	433	366
542	434	365
543	434	364
544	435	363
545	436	362
546	436	361
547	437	360
548	437	359
549	438	358
550	438	357
551	439	356
552	439	355
553	440	354
554	441	353
555	441	352
556	442	351
557	442	350
558	443	349
559	443	348
560	444	347
561	445	347
562	447	347
563	447	346
564	448	345
565	449	344
566	449	343
567	450	342
568	451	341
569	451	340
570	452	339
571	452	338
572	453	337
573	454	336
574	454	336
575	455	335
576	455	334
577	456	333
578	456	332
579	457	331
580	458	330
581	458	329
582	459	328
583	460	327
584	460	326
585	461	325
586	461	325
587	462	324
588	463	323
589	463	322
590	464	321
591	465	320
592	465	319
593	466	318
594	466	317
595	467	316
596	468	316
597	468	315
598	469	314
599	470	313
600	470	312
601	471	311
602	472	310
603	473	310
604	475	310
605	477	310
606	478	309
607	478	308
608	479	308
609	480	307
610	481	306
611	482	305
612	482	304
613	483	304
614	484	303
615	485	302
616	486	301
617	487	301
618	488	300
619	489	299
620	489	298
621	490	298
622	491	297
623	491	296
624	492	295
625	492	294
626	493	293
627	494	292
628	494	291
629	495	290
630	495	290
631	496	289
632	497	288
633	497	287
634	498	286
635	499	285
636	499	284
637	501	284
638	501	283
639	502	282
640	503	282
641	504	281
642	505	280
643	506	280
644	508	280
645	509	279
646	510	278
647	511	277
648	511	276
649	512	275
650	513	275
651	514	274
652	515	274
653	516	273
654	517	272
655	517	271
656	518	270
657	519	269
658	519	268
659	520	267
660	520	267
661	521	266
662	521	265
663	522	264
664	523	263
665	523	262
666	524	261
667	525	260
668	525	260
669	526	259
670	526	258
671	529	258
672	531	258
673	532	257
674	533	256
675	535	256
676	536	255
677	537	255
678	539	254
679	539	253
680	540	253
681	544	253
682	544	252
683	545	252
684	546	251
685	547	250
686	548	249
687	548	248
688	549	247
689	549	247
690	550	246
691	551	245
692	551	244
693	552	243
694	553	242
695	553	241
696	554	240
697	559	241
698	560	241
699	561	240
700	562	239
701	564	239
702	565	238
703	565	237
704	566	237
705	566	236
706	567	235
707	568	234
708	569	233
709	570	233
710	571	232
711	573	231
712	573	231
713	574	230
714	575	229
715	575	228
716	576	227
717	576	226
718	577	225
719	577	224
720	578	223
721	578	222
722	579	221
723	579	221
724	580	220
725	580	219
726	581	218
727	582	217
728	582	216
729	583	215
730	584	215
731	585	214
732	586	213
733	587	212
734	587	211
735	588	211
736	589	210
737	590	209
738	590	208
739	591	207
740	591	206
741	592	205
742	592	205
743	593	204
744	594	203
745	594	202
746	595	201
747	595	200
748	596	199
749	597	199
750	597	198
751	598	197
752	599	196
753	600	195
754	600	194
755	601	194
756	601	193
757	602	192
758	603	191
759	603	190
760	604	189
761	604	188
762	605	188
763	605	187
764	606	186
765	606	185
766	607	184
767	608	183
768	608	182
769	609	181
770	609	181
771	610	180
772	610	179
773	611	178
774	612	177
775	613	176
776	613	176
777	614	175
778	615	174
779	615	173
780	616	172
781	617	172
782	617	171
783	618	170
784	618	169
785	619	168
786	620	167
787	620	167
788	621	166
789	622	165
790	623	164
791	623	163
792	624	162
793	624	162
794	625	161
795	625	160
796	626	159
797	627	158
798	628	158
799	628	157
800	629	156
801	630	155
802	630	154
803	631	153
804	632	153
805	632	152
806	633	151
807	633	150
808	634	149
809	634	148
810	635	148
811	636	147
812	636	146
813	637	145
814	637	144
815	638	143
816	638	143
817	639	142
818	639	141
819	640	140
820	641	139
821	642	139
822	642	138
823	643	137
824	644	136
825	644	135
826	645	135
827	646	134
828	647	133
829	647	132
830	648	131
831	649	131
832	649	130
833	650	129
834	650	128
835	651	127
836	651	126
837	652	126
838	653	125
839	653	124
840	654	123
841	655	122
842	656	122
843	656	121
844	657	120
845	658	119
846	658	118
847	659	118
848	659	117
849	660	116
850	660	115
851	661	114
852	661	114
853	662	113
854	663	112
855	663	111
856	664	110
857	664	110
858	665	109
859	665	108
860	666	107
861	667	106
862	667	105
863	668	105
864	668	104
865	671	103
866	671	103
867	672	102
868	673	101
869	673	100
870	674	99
871	675	99
872	675	98
873	676	97
874	676	96
875	677	95
876	678	95
877	678	94
878	679	93
879	680	92
880	680	91
881	681	91
882	681	90
883	682	89
884	683	88
885	684	88
886	684	87
887	685	86
888	686	85
889	686	84
890	687	84
891	687	83
892	688	82
893	688	81
894	689	80
895	690	80
896	690	79
897	691	78
898	692	77
899	693	77
900	693	76
901	694	75
902	695	74
903	696	73
904	696	73
905	697	72
906	700	71
907	701	71
908	701	70
909	702	69
910	703	68
911	703	67
912	704	67
913	705	66
914	705	65
915	706	64
916	706	63
917	707	63
918	709	62
919	710	61
920	710	60
921	711	60
922	711	59
923	712	58
924	713	57
925	714	57
926	715	56
927	715	55
928	716	54
929	717	53
930	717	53
931	718	52
932	718	51
933	719	50
934	719	50
935	720	49
936	720	48
937	721	47
938	721	46
939	722	46
940	723	45
941	723	44
942	724	43
943	724	42
944	725	42
945	725	41
946	725	40
947	726	39
948	727	39
949	728	38
950	728	37
951	729	36
952	729	35
953	730	35
954	731	34
955	731	33
956	732	32
957	732	32
958	733	31
959	734	30
960	734	29
961	735	29
962	735	28
963	736	27
964	737	26
965	737	25
966	738	25
967	738	24
968	739	23
969	740	22
970	740	22
971	741	21
972	742	20
973	743	19
974	743	19
975	744	18
976	744	17
977	745	16
978	745	15
979	746	15
980	746	14
981	747	13
982	747	12
983	748	12
984	748	11
985	749	10
986	749	9
987	750	9
988	750	8
989	751	7
990	751	6
991	752	6
992	752	5
993	753	4
994	753	3
995	754	3
996	754	2
997	755	1
998	756	0
999	757	0
